,zip_codes,Estimate!!Total,25-44 Renters,%25-44 Renters,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
629,40242,4588,724,0.15780296425457715,38.27735,-85.59069000000001,Louisville,KY,Kentucky,True,,11056,1582.0,21111,Jefferson,{'21111':100},Jefferson,21111,False,False,America/New_York
286,64079,4999,788,0.15763152630526106,39.35777,-94.79601,Platte City,MO,Missouri,True,,14485,51.3,29165,Platte,{'29165':100},Platte,29165,False,False,America/Chicago
767,95971,2413,380,0.15748031496062992,39.93721,-120.90026999999999,Quincy,CA,California,True,,6254,22.8,6063,Plumas,{'06063':100},Plumas,06063,False,False,America/Los_Angeles
605,75025,18780,2957,0.15745473908413204,33.09095,-96.74128,Plano,TX,Texas,True,,53688,2102.5,48085,Collin,{'48085':100},Collin,48085,False,False,America/Chicago
510,44094,16280,2561,0.1573095823095823,41.60994,-81.37989,Willoughby,OH,Ohio,True,,35755,346.9,39085,Lake,{'39085':100},Lake,39085,False,False,America/New_York
894,92128,20638,3243,0.15713731950770424,32.99935,-117.07179,San Diego,CA,California,True,,51066,1638.9,6073,San Diego,{'06073':100},San Diego,06073,False,False,America/Los_Angeles
454,97229,24393,3833,0.15713524371745993,45.55063,-122.80994,Portland,OR,Oregon,True,,67339,1092.9,41067,Washington,"{'41051':12.04,'41067':87.96}",Washington|Multnomah,41067|41051,False,False,America/Los_Angeles
122,94521,16088,2527,0.1570735952262556,37.95603,-121.95613,Concord,CA,California,True,,43103,1227.6,6013,Contra Costa,{'06013':100},Contra Costa,06013,False,False,America/Los_Angeles
559,44224,16363,2566,0.15681720955814948,41.17668,-81.43881,Stow,OH,Ohio,True,,39564,750.7,39153,Summit,"{'39133':0.1,'39153':99.9}",Summit|Portage,39153|39133,False,False,America/New_York
793,57106,18717,2933,0.15670246300154939,43.51054,-96.83901,Sioux Falls,SD,South Dakota,True,,46442,510.7,46099,Minnehaha,"{'46083':14.45,'46099':85.55}",Minnehaha|Lincoln,46099|46083,False,False,America/Chicago
690,22046,6586,1032,0.1566960218645612,38.8871,-77.18075999999999,Falls Church,VA,Virginia,True,,18401,2222.0,51610,Falls Church,"{'51059':35.12,'51610':64.88}",Falls Church|Fairfax,51610|51059,False,False,America/New_York
512,89144,7328,1148,0.1566593886462882,36.1789,-115.32073999999999,Las Vegas,NV,Nevada,True,,19787,1840.5,32003,Clark,{'32003':100},Clark,32003,False,False,America/Los_Angeles
424,95119,3263,510,0.15629788538155073,37.22894,-121.78591000000002,San Jose,CA,California,True,,10472,1358.6,6085,Santa Clara,{'06085':100},Santa Clara,06085,False,False,America/Los_Angeles
744,57006,9798,1531,0.15625637885282712,44.315259999999995,-96.79634,Brookings,SD,South Dakota,True,,26315,60.9,46011,Brookings,"{'46011':99.42,'46101':0.58}",Brookings|Moody,46011|46101,False,False,America/Chicago
725,54913,8146,1272,0.15615025779523692,44.34148,-88.39996,Appleton,WI,Wisconsin,True,,20699,108.1,55087,Outagamie,{'55087':100},Outagamie,55087,False,False,America/Chicago
630,30004,22152,3453,0.15587757313109427,34.14329,-84.29947,Alpharetta,GA,Georgia,True,,64232,356.8,13121,Fulton,"{'13057':4.81,'13117':16.15,'13121':79.04}",Fulton|Cherokee|Forsyth,13121|13057|13117,False,False,America/New_York
616,95519,7333,1142,0.15573435156143461,40.95579,-124.04637,Mckinleyville,CA,California,True,,19099,118.5,6023,Humboldt,{'06023':100},Humboldt,06023,False,False,America/Los_Angeles
719,28278,9176,1429,0.1557323452484743,35.1296,-81.00789,Charlotte,NC,North Carolina,True,,27286,261.4,37119,Mecklenburg,{'37119':100},Mecklenburg,37119,False,False,America/New_York
708,95819,7972,1241,0.1556698444555946,38.56965,-121.4397,Sacramento,CA,California,True,,19659,1935.7,6067,Sacramento,{'06067':100},Sacramento,06067,False,False,America/Los_Angeles
