,zip_codes,Estimate!!Total,Movers Total,%Movers,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
105,98225,49559,15831,0.31943743820496784,48.75309,-122.50148999999999,Bellingham,WA,Washington,True,,49877,1410.9,53073,Whatcom,{'53073':100},Whatcom,53073,False,False,America/Los_Angeles
106,84102,17859,5698,0.3190548182988969,40.76021,-111.86438999999999,Salt Lake City,UT,Utah,True,,18099,3792.1,49035,Salt Lake,{'49035':100},Salt Lake,49035,False,False,America/Denver
107,55401,9518,3022,0.3175036772431183,44.984790000000004,-93.26946,Minneapolis,MN,Minnesota,True,,9595,2824.8,27053,Hennepin,{'27053':100},Hennepin,27053,False,False,America/Chicago
108,43202,20920,6619,0.31639579349904395,40.02143,-83.01415,Columbus,OH,Ohio,True,,21141,3118.1,39049,Franklin,{'39049':100},Franklin,39049,False,False,America/New_York
109,8640,7703,2437,0.3163702453589511,40.0035,-74.58933,Joint Base Mdl,NJ,New Jersey,True,,7753,139.0,34005,Burlington,{'34005':100},Burlington,34005,False,False,America/New_York
110,91708,3867,1221,0.3157486423584174,33.95398,-117.64045,Chino,CA,California,True,,3892,137.0,6071,San Bernardino,{'06071':100},San Bernardino,06071,False,False,America/Los_Angeles
111,33716,17817,5624,0.315653589268676,27.876440000000002,-82.65141,Saint Petersburg,FL,Florida,True,,18043,813.7,12103,Pinellas,{'12103':100},Pinellas,12103,False,False,America/New_York
112,63101,3307,1042,0.3150892047172664,38.631440000000005,-90.19264,Saint Louis,MO,Missouri,True,,3307,2678.9,29510,St. Louis,{'29510':100},St. Louis,29510,False,False,America/Chicago
113,92618,42414,13334,0.31437732824067527,33.66816,-117.73421,Irvine,CA,California,True,,43316,299.0,6059,Orange,{'06059':100},Orange,06059,False,False,America/Los_Angeles
114,85054,6850,2151,0.31401459854014596,33.67311,-111.94612,Phoenix,AZ,Arizona,True,,6896,231.0,4013,Maricopa,{'04013':100},Maricopa,04013,False,False,America/Phoenix
115,28204,6662,2091,0.31386970879615733,35.21467,-80.82706999999999,Charlotte,NC,North Carolina,True,,6725,1071.1,37119,Mecklenburg,{'37119':100},Mecklenburg,37119,False,False,America/New_York
