,NAME,Estimate!!Total,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from abroad,zip code tabulation area,Movers Total,%Movers
321,ZCTA5 22731,30,0,14,0,0,22731,14,0.4666666666666667
322,ZCTA5 32147,556,259,0,0,0,32147,259,0.4658273381294964
323,ZCTA5 43201,33171,10599,2999,1490,328,43201,15416,0.4647432998703687
324,ZCTA5 68531,222,55,13,35,0,68531,103,0.46396396396396394
325,ZCTA5 02215,25517,3627,1653,4397,2139,2215,11816,0.46306383979307914
326,ZCTA5 36113,1795,75,135,518,103,36113,831,0.46295264623955434
327,ZCTA5 42265,802,329,13,29,0,42265,371,0.4625935162094763
328,ZCTA5 23708,476,0,85,135,0,23708,220,0.46218487394957986
329,ZCTA5 32227,3063,194,290,823,108,32227,1415,0.46196539340515835
330,ZCTA5 85707,665,22,19,258,8,85707,307,0.4616541353383459
331,ZCTA5 59636,26,0,0,8,4,59636,12,0.46153846153846156
332,ZCTA5 26178,377,117,57,0,0,26178,174,0.46153846153846156
333,ZCTA5 23398,26,0,12,0,0,23398,12,0.46153846153846156
334,ZCTA5 93117,58065,15172,8730,1590,1273,93117,26765,0.46094893653664
335,ZCTA5 29201,21163,3833,2976,2495,445,29201,9749,0.4606624769645135
336,ZCTA5 85608,4978,7,2015,103,167,85608,2292,0.4604258738449176
337,ZCTA5 88436,50,0,23,0,0,88436,23,0.46
338,ZCTA5 53703,33414,10046,1849,2849,582,53703,15326,0.45867001855509665
339,ZCTA5 46290,190,34,53,0,0,46290,87,0.45789473684210524
340,ZCTA5 45056,27803,4887,4232,2760,838,45056,12717,0.45739668381109955
341,ZCTA5 76201,27875,5702,5895,702,406,76201,12705,0.4557847533632287
342,ZCTA5 48104,42956,11207,3471,3854,1025,48104,19557,0.4552798212124034
343,ZCTA5 37902,2335,666,203,187,6,37902,1062,0.45481798715203425
344,ZCTA5 84719,77,0,35,0,0,84719,35,0.45454545454545453
345,ZCTA5 13415,66,0,30,0,0,13415,30,0.45454545454545453
346,ZCTA5 87116,3826,471,11,1137,120,87116,1739,0.45452169367485623
347,ZCTA5 12786,271,39,66,18,0,12786,123,0.45387453874538747
348,ZCTA5 47408,25650,6993,2295,1538,806,47408,11632,0.45348927875243666
349,ZCTA5 37614,1942,63,624,159,34,37614,880,0.45314109165808447
350,ZCTA5 85719,47975,12443,3272,4887,1137,85719,21739,0.45313183949973945
351,ZCTA5 36362,5015,196,193,1668,208,36362,2265,0.45164506480558325
352,ZCTA5 81021,31,14,0,0,0,81021,14,0.45161290322580644
353,ZCTA5 17077,93,0,42,0,0,17077,42,0.45161290322580644
354,ZCTA5 40508,26117,7066,2632,1788,308,40508,11794,0.45158325994562926
355,ZCTA5 48226,6925,1791,727,491,113,48226,3122,0.4508303249097473
356,ZCTA5 75202,2004,480,189,225,9,75202,903,0.4505988023952096
357,ZCTA5 80521,36865,7558,4777,3542,698,80521,16575,0.44961345449613455
358,ZCTA5 12929,3907,115,1597,42,0,12929,1754,0.44893780394164323
359,ZCTA5 96015,529,12,153,72,0,96015,237,0.44801512287334594
360,ZCTA5 76402,881,65,304,20,5,76402,394,0.44721906923950056
361,ZCTA5 79906,5006,273,163,1202,597,79906,2235,0.4464642429085098
362,ZCTA5 45701,35439,6502,7351,1614,342,45701,15809,0.44609046530658314
363,ZCTA5 80302,29029,7790,1548,3007,603,80302,12948,0.44603672189879084
364,ZCTA5 76155,5345,1200,461,407,314,76155,2382,0.4456501403180543
365,ZCTA5 32026,1907,11,823,15,0,32026,849,0.4452018877818563
366,ZCTA5 83238,72,26,0,6,0,83238,32,0.4444444444444444
367,ZCTA5 65201,44659,11014,4744,3205,880,65201,19843,0.4443225329720773
368,ZCTA5 76544,25085,1618,1720,6011,1702,76544,11051,0.4405421566673311
